"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Cyber-physical microservices: An IoT-based framework for manufacturing systems","K. Thramboulidis; D. C. Vachtsevanou; A. Solanos","Electrical and Computer Engineering, University of Patras, Patras, Greece; Electrical and Computer Engineering, University of Patras, Patras, Greece; Electrical and Computer Engineering, University of Patras, Patras, Greece","2018 IEEE Industrial Cyber-Physical Systems (ICPS)","21 Jun 2018","2018","","","232","239","Recent advances in ICT enable the evolution of the manufacturing industry to meet the new requirements of the society. Cyber-physical systems, Internet-of-Things (IoT), and Cloud computing, play a key role in the fourth industrial revolution known as Industry 4.0. The microservice architecture has evolved as an alternative to SOA and promises to address many of the challenges in software development. In this paper, we adopt the concept of microservice and describe a framework for manufacturing systems that has the cyber-physical microservice as the key construct. The manufacturing plant processes are defined as compositions of primitive cyber-physical microservices adopting either the orchestration or the choreography pattern. IoT technologies are used for system integration and model-driven engineering is utilized to semi-automate the development process for the industrial engineer, who is not familiar with microservices and IoT. Two case studies demonstrate the feasibility of the proposed approach.","","978-1-5386-6531-2","10.1109/ICPHYS.2018.8387665","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8387665","cyber-physical systems;microservices;IoT;service discovery;service composition;UML4IoT;semantic web","Manufacturing systems;Computer architecture;Cyber-physical systems;Industries;Software;Scalability","cloud computing;industrial engineering;Internet of Things;manufacturing industries;manufacturing systems;production engineering computing;service-oriented architecture","cyber-physical microservice;IoT;manufacturing industry;cyber-physical systems;fourth industrial revolution;microservice architecture;manufacturing plant processes;system integration;model-driven engineering;industrial engineer;microservices;manufacturing systems;Internet-of-Things;cloud computing;Industry 4.0;software development;choreography pattern","","46","","43","IEEE","21 Jun 2018","","","IEEE","IEEE Conferences"
"Generic Autonomic Management as a Service in a SOA-based Framework for Industry 4.0","S. Maksuti; M. Tauber; J. Delsing","Luleå University of Technology, Luleå, Sweden; University of Applied Sciences Burgenland, Eisenstadt, Austria; Luleå University of Technology, Luleå, Sweden","IECON 2019 - 45th Annual Conference of the IEEE Industrial Electronics Society","9 Dec 2019","2019","1","","5480","5485","Cyber-physical production systems are engineered systems that are built from, and depend upon, the seamless integration of computational algorithms and physical components. In order to make these systems interoperable with each other for addressing Industry 4.0 applications a number of service-oriented architecture frameworks are developed. Such frameworks are composed by a number of services, which are inherently dynamic by nature and thus imply the need for self-adaptation. In this paper we propose generic autonomic management as a service and show how it can be integrated in the Arrowhead framework. We propose generic and reusable interfaces for each phase of the autonomic control loop in order to increase the usability of the service for other frameworks and application systems, while reducing the software engineering effort. To show the utility of our approach in the Arrowhead framework we use a climate control application as a representative example.","2577-1647","978-1-7281-4878-6","10.1109/IECON.2019.8927245","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8927245","","Adaptation models;Service-oriented architecture;Runtime;Automation;Computer architecture;Uncertainty;Feedback loop","cloud computing;cyber-physical systems;production engineering computing;service-oriented architecture;user interfaces","reusable interfaces;autonomic control loop;software engineering;Arrowhead framework;climate control application;SOA-based framework;cyber-physical production systems;seamless integration;computational algorithms;physical components;service-oriented architecture frameworks;autonomic management as a service;Industry 4.0","","6","","21","IEEE","9 Dec 2019","","","IEEE","IEEE Conferences"
"Metamodeling of Cyber-Physical Production Systems using AutomationML for Collaborative Innovation","P. Juhlin; J. -C. Schlake; D. Janka; A. Hawlitschek","ABB Corporate Research Center Germany, Ladenburg, Germany; ABB Corporate Research Center Germany, Ladenburg, Germany; ABB Corporate Research Center Germany, Ladenburg, Germany; clickbar. GmbH, Darmstadt, Germany","2021 26th IEEE International Conference on Emerging Technologies and Factory Automation (ETFA )","30 Nov 2021","2021","","","1","4","A Metamodel-based Cyber-Physical Production System (CPPS) Integration Framework is presented for building comprehensive models of cyber-physical production systems with information integration from various software based on flexible interoperability alignments without requiring time-consuming and deadlock-prone semantic standardization efforts. The framework facilitates building of flexible, extensible networks of loosely coupled, multi-vendor production-level software, simulation, analytics, and visualization tools for holistic analyses, enabling collaborative innovation of production systems. At its core lies an AutomationML-based Information Metamodel which together with a simulation forms the production system's digital twin. The framework is illustrated through its application to mining production systems.","","978-1-7281-2989-1","10.1109/ETFA45728.2021.9613560","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9613560","interoperability;collaborative innovation;open innovation;cyber-physical production system;CPPS;digital twin;digital ecosystem;Industry 4.0;AutomationML;mining","Production systems;Technological innovation;Visualization;Buildings;Semantics;Collaboration;Standardization","data visualisation;groupware;innovation management;mining;open systems;production engineering computing","flexible interoperability alignments;multivendor production-level software;collaborative innovation;mining production systems;information integration;metamodel-based cyber-physical production system integration framework;AutomationML-based information metamodel;visualization tools","","","","22","EU","30 Nov 2021","","","IEEE","IEEE Conferences"
"Using a model-based engineering approach for developing Industrial Internet of Things applications","C. Binder; D. Draxler; C. Neureiter; G. Lastro","Center for Secure Energy Informatics, Salzburg University of Applied Sciences, Puch/Salzburg, Austria; Center for Secure Energy Informatics, Salzburg University of Applied Sciences, Puch/Salzburg, Austria; Center for Secure Energy Informatics, Salzburg University of Applied Sciences, Puch/Salzburg, Austria; Center for Secure Energy Informatics, Salzburg University of Applied Sciences, Puch/Salzburg, Austria","2020 IEEE Conference on Industrial Cyberphysical Systems (ICPS)","4 Dec 2020","2020","1","","35","40","Industrial Internet of Things (IIoT), a new way of developing manufacturing systems and their participants, better known as Cyber-physical Systems (CPS), is a term that is promoted by the emergence of the so-called fourth industrial revolution. This new trend in industrial manufacturing offers new automation possibilities with the goal to optimize operational efficiency, minimize costs and realize new business models. However, accompanied with those new opportunities, on the other hand engineering such systems and their architectures has become a complex and difficult task. Having recognized this issue, the Reference Architecture Model Industrie 4.0 (RAMI 4.0) has been introduced in order to provide viewpoints for structuring an Industry 4.0 based system according to the different concerns to address. Although providing a standardized framework, at the current point of view it is difficult to describe a detailed system architecture, since this reference model is missing formalizations and common methods. Therefore, this paper proposes a possibility of aligning the model-based engineering methods introduced by the Software Platform Embedded Systems (SPES) with the architectural concepts of RAMI 4.0 in order to close the aforementioned gap and provide well-defined methodology in order to develop current and future industrial systems. To achieve this, similarities between both approaches are analyzed and compared with each other and a architecture definition based on the ISO 42010 is given, which is subsequently evaluated by the application of a real-world case study.","","978-1-7281-6389-5","10.1109/ICPS48405.2020.9274701","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9274701","System Architecture;Industrial Internet of Things (IIoT);Reference Architecture Model Industrie 4.0 (RAMI 4.0);Domain-specific Systems Engineering (DSSE);Software Platform Embedded Systems (SPES)","Modeling;Computer architecture;Industries;Unified modeling language;Solid modeling;Business;Biological system modeling","architecture;cost reduction;cyber-physical systems;embedded systems;Internet of Things;ISO standards;manufacturing systems;production engineering computing","reference architecture model industrie 4.0;detailed system architecture;model-based engineering methods;software platform embedded systems;architectural concepts;manufacturing systems;Cyber-physical Systems;fourth industrial revolution;business models;industrial Internet of Things applications;cost reduction;standardized framework;ISO 42010 standard","","","","26","IEEE","4 Dec 2020","","","IEEE","IEEE Conferences"
"Decentralized Autonomous Architecture for Resilient Cyber-Physical Production Systems","L. Prenzel; S. Steinhorst","Technical University of Munich, Germany, Munich, Germany; Technical University of Munich, Germany, Munich, Germany","2021 Design, Automation & Test in Europe Conference & Exhibition (DATE)","16 Jul 2021","2021","","","1300","1303","Real-time decision-making is a key element in the transition from Reconfigurable Manufacturing Systems to Autonomous Manufacturing Systems. In Cyber-Physical Production Systems (CPPS) and Cloud Manufacturing, most decision-making algorithms are either centralized, creating vulnerabilities to failures, or decentralized, struggling to reach the performance of the centralized counterparts. In this paper, we combine the performance of centralized optimization algorithms with the resilience of a decentralized consensus. We propose a novel autonomous system architecture for CPPS featuring an automatic production plan generation, a functional validation, and a two-stage consensus algorithm, combining a majority vote on safety and optimality, and a unanimous vote on feasibility and authenticity. The architecture is implemented in a simulation framework. In a case study, we exhibit the timing behavior of the configuration procedure and subsequent reconfiguration following a device failure, showing the feasibility of a consensus-based decision-making process.","1558-1101","978-3-9819263-5-4","10.23919/DATE51398.2021.9473954","Federal Ministry of Education and Research of Germany (BMBF)(grant numbers:01IS18063B); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9473954","Autonomy;Decision-Making;Resilience;Consensus;Manufacturing Systems","Autonomous systems;Decision making;Consensus algorithm;Real-time systems;Timing;Safety;Optimization","cloud computing;decentralised control;decision making;manufacturing systems;production engineering computing;production planning","decision-making algorithms;centralized counterparts;centralized optimization algorithms;decentralized consensus;autonomous system architecture;CPPS;automatic production plan generation;two-stage consensus algorithm;safety;timing behavior;consensus-based decision-making process;decentralized Autonomous architecture;resilient Cyber-Physical Production Systems;real-time decision-making;Reconfigurable Manufacturing Systems;Autonomous Manufacturing Systems;Cloud Manufacturing","","2","","17","","16 Jul 2021","","","IEEE","IEEE Conferences"
"Archer: An Event-Driven Architecture for Cyber-Physical Systems","J. Moreno Molina; J. Ferrer García; C. Kuchkovsky Jiménez","New Digital Business R&D, BBVA, Madrid, Spain; New Digital Business R&D, BBVA, Madrid, Spain; New Digital Business R&D, BBVA, Madrid, Spain","2018 IEEE/ACM International Conference on Utility and Cloud Computing Companion (UCC Companion)","10 Jan 2019","2018","","","335","340","A global Internet of Things demands new cloud architectures that can scale to support all kind of loosely coupled data and events producers and consumers. Moreover, these architectures need to be capable of offering low-latency delivery, which must not only feed real-time analytics applications, but also produce real-time actionable data that could enable operational business logic and automation triggers activation and transform microservices into cyber-physical microapplications. The design principles to build distributed event-driven applications are known to be complex and hard to handle at the application code level. As a result, there are several already well-known patterns that aim to provide a convenient solution and abstract the business logic development from the underlying architecture complexities. This paper proposes a common framework that addresses all the needs of an in-production application, that are hard to solve under the event-driven paradigm. It gathers existing patterns and combines them and extends them. These patterns are implemented and comprised in a middleware library which has been tested on a proof-of-concept architecture implementation, based on Apache Kafka.","","978-1-7281-0359-4","10.1109/UCC-Companion.2018.00077","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8605801","events, streaming, kafka, event-driven, Internet of Things, IoT, Cyber-Physical Systems, real-time","Computer architecture;Business;Protocols;Program processors;Internet of Things;Logic gates;Real-time systems","business data processing;cloud computing;cyber-physical systems;data analysis;formal logic;Internet of Things;middleware;software architecture;software libraries","event-driven architecture;cyber-physical systems;real-time analytics applications;real-time actionable data;operational business logic;cyber-physical microapplications;design principles;distributed event-driven applications;application code level;in-production application;proof-of-concept architecture implementation;Archer;Internet of Things;cloud architectures;business logic development;middleware library","","1","","15","IEEE","10 Jan 2019","","","IEEE","IEEE Conferences"
"An Approach of Cyber-Physical Production Systems Architecture for Robot Control","C. A. Garcia; D. Lanas; A. M. Edison; S. Altamirano; M. V. Garcia","Universidad de las Fuerzas Armadas-ESPE, Latacunga, Ecuador; Universidad de las Fuerzas Armadas-ESPE, Latacunga, Ecuador; UTA, Universidad Tecnica de Ambato, Ambato, Ecuador; UTA, Universidad Tecnica de Ambato, Ambato, Ecuador; UPV/EHU, University of Basque Country, Bilbao, Spain","IECON 2018 - 44th Annual Conference of the IEEE Industrial Electronics Society","30 Dec 2018","2018","","","2847","2852","The changing needs of the current industrial market give a higher importance in the generation of more flexible manufacturing plants. Due to the combination of high-processing controller and high-efficiency communications, so-called Cyber-Physical Production Systems (CPPS) are one of the most common alternatives chosen by industries to fulfill their flexibility requirements. In order to satisfy production goals, enterprises opt to incorporate robotic systems into their production lines. Currently robots are compatible to be integrated within CPPS, where the high processing and communication capacities of the devices allow a general collaboration among the devices. IEC-61499 standard proposes an architecture for the generation of distributed and modular CPPS using embedded controllers. The main approach of this paper proposes the development of a CPPS based on IEC-61499 for industrial robot control, using Raspberry Pi 3B board as low-cost controller. It is generated to control the KUKA YouBot Robotic Arm execution while performing the welding tasks corresponding to a modular manufacturing system.","2577-1647","978-1-5090-6684-1","10.1109/IECON.2018.8591286","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8591286","Robotic Manipulator;IEC-61499;CPPS;Industry 4.0;Robot Operating System (ROS)","Service robots;Standards;Manipulators;Computer architecture;Robot kinematics;Production","control engineering computing;factory automation;flexible manufacturing systems;IEC standards;industrial plants;industrial robots;manufacturing systems;production engineering computing","industrial market;flexible manufacturing plants;Cyber-Physical Production Systems architecture;modular manufacturing system;KUKA YouBot Robotic Arm execution;low-cost controller;industrial robot control;embedded controllers;modular CPPS;distributed CPPS;IEC-61499 standard;communication capacities;robots;production lines;robotic systems;production goals;flexibility requirements;so-called Cyber-Physical Production Systems;high-efficiency communications;high-processing controller","","7","","21","IEEE","30 Dec 2018","","","IEEE","IEEE Conferences"
"Design patterns for the implementation of Industrial Agent-based AASs","A. López; O. Casquero; M. Marcos","Systems Engineering and Automatic Control Department, University of the Basque Country (UPV/EHU), Bilbao, Spain; Systems Engineering and Automatic Control Department, University of the Basque Country (UPV/EHU), Bilbao, Spain; Systems Engineering and Automatic Control Department, University of the Basque Country (UPV/EHU), Bilbao, Spain","2021 4th IEEE International Conference on Industrial Cyber-Physical Systems (ICPS)","5 Jul 2021","2021","","","213","218","The I4.0 component is a key concept in RAMI 4.0 reference architecture that can be understood as a Cyber Physical Systems, where the asset corresponds to the physical part and the Asset Administration Shell (AAS) corresponds to the cyber part. The implementation of the AAS has received an increasing attention in the last few years. Industrial agents have become a common solution for this issue because their features fulfil several of the requirements for the development of AASs. However, the lack of design methodologies and design development tools can explain the little adoption of these systems in industry. In this context, this work contributes a pattern for the implementation of AASs based on industrial agents from which agent templates for different applications can be derived. In order to assess the applicability of the proposed pattern, it is applied in the implementation of AAS for manufacturing resources as well as for the logical representation of product assets, covering the production phase of the I4.0 component.","","978-1-7281-6207-2","10.1109/ICPS49255.2021.9468129","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9468129","AAS;Industrial Agent;RAMI 4.0;IIRA;pattern;concerns","Industries;Design methodology;Conferences;Production;Tools;Cyber-physical systems;Manufacturing","multi-agent systems;object-oriented methods;production engineering computing;software agents","design methodologies;design development tools;product assets;design patterns;RAMI 4.0 reference architecture;Cyber Physical Systems;physical part;Asset Administration Shell;cyber part;industrial agent-based AAS;manufacturing resources","","3","","39","IEEE","5 Jul 2021","","","IEEE","IEEE Conferences"
"A distributed control architecture for a reconfigurable manufacturing plant","S. Spinelli; A. Cataldo; G. Pallucca; A. Brusaferri","National Research Council (CNR), Institute of Industrial Technology and Automation (ITIA), Milan, Italy; National Research Council (CNR), Institute of Industrial Technology and Automation (ITIA), Milan, Italy; National Research Council (CNR), Institute of Industrial Technology and Automation (ITIA), Milan, Italy; National Research Council (CNR), Institute of Industrial Technology and Automation (ITIA), Milan, Italy","2018 IEEE Industrial Cyber-Physical Systems (ICPS)","21 Jun 2018","2018","","","673","678","This work presents a novel approach for the implementation of industrial Cyber-Physical System (CPS) based on the integration of the IEC 61499 international standard for distributed industrial automation, as conceived in the DAEDALUS Horizon 2020 project. Among the different innovations introduced by the project, this work focuses on the establishment of internal cognitive functionalities: a Function Block for model-based optimal control is devised for the optimal orchestration of CPS. As a case study, the automation of a lab-scale industrial plant for End Of Life treatment of electronic circuit boards is developed with the proposed methodology. The plant orchestrator is a validated Hybrid Model Predictive Control solution. It is shown how it is possible to model complex systems, creating aggregated structures of CPSs, and to orchestrate them thanks to the distributed intelligence. The completion of the software development kit for a seamless development of optimal orchestration and logic control is the final objective of the ongoing project.","","978-1-5386-6531-2","10.1109/ICPHYS.2018.8390788","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8390788","Cyber-Physical System;IEC 61499;Optimal Control;Hybrid Model Predictive Control;Distributed Control Architecture;Manufacturing plant","Automation;IEC Standards;Production;Real-time systems;Computer architecture;Manufacturing","distributed control;factory automation;IEC standards;industrial plants;manufacturing systems;optimal control;predictive control;production engineering computing","distributed control architecture;reconfigurable manufacturing plant;industrial Cyber-Physical System;CPS;IEC 61499 international standard;distributed industrial automation;DAEDALUS Horizon 2020 project;internal cognitive functionalities;Function Block;optimal control;optimal orchestration;lab-scale industrial plant;electronic circuit boards;plant orchestrator;validated Hybrid Model Predictive Control solution;distributed intelligence;software development kit;seamless development;logic control;complex systems;End Of Life treatment","","9","","23","IEEE","21 Jun 2018","","","IEEE","IEEE Conferences"
"simbIoTe: A Simulator for Building Cyber-Physical System and Internet of Things Environments","B. Dowdeswell; J. Robertson-Bickers; R. Lewis; M. Kuo; R. Sinha","Software Engineering Research Centre (SERC), School of Engineering, Computing and Mathematical Sciences, Auckland University of Technology (AUT), Auckland, New Zealand; Royal New Zealand Air Force; Software Engineering Research Centre (SERC), School of Engineering, Computing and Mathematical Sciences, Auckland University of Technology (AUT), Auckland, New Zealand; Software Engineering Research Centre (SERC), School of Engineering, Computing and Mathematical Sciences, Auckland University of Technology (AUT), Auckland, New Zealand; Software Engineering Research Centre (SERC), School of Engineering, Computing and Mathematical Sciences, Auckland University of Technology (AUT), Auckland, New Zealand","2022 IEEE 1st Industrial Electronics Society Annual On-Line Conference (ONCON)","24 May 2023","2022","","","1","6","Simulation of physical environments during the development of Industrial Cyber-Physical Systems (ICPS) offers a way to rapidly validate control interactions. Since production hardware for both aerospace and industrial machinery is not always immediately available, simulation allows software development to begin earlier on safety-critical projects. This study presents the early-stage design thinking that influenced the development of our simbIoTe physical environment simulator. This tool allows engineers to rapidly create realistic simulations that can interact with their ICPS during development. Aspects of the simbIoTe architecture are detailed as well as the Views and Beyond methodology adopted by the designers. Two case studies that evaluated the first prototypes of the simulator are discussed. The future research directions outline how simbIoTe will be evolved into a mature Open Source simulation development platform to foster robust and resilient ICPS design practices.","","979-8-3503-9806-9","10.1109/ONCON56984.2022.10126940","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10126940","","Industrial electronics;Buildings;Prototypes;Production;Computer architecture;Cyber-physical systems;Software","cyber-physical systems;Internet of Things;production engineering computing;software architecture","aerospace;control interactions;early-stage design;early-stage design thinking;Industrial Cyber-Physical Systems;industrial machinery;Internet of Things environments;open source simulation development platform;physical environment simulation;production hardware;realistic simulations;resilient ICPS design practices;robust ICPS design practices;safety-critical projects;simbIoTe architecture;simbIoTe physical environment simulator;software development","","","","29","IEEE","24 May 2023","","","IEEE","IEEE Conferences"
