"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Tavares P.; Silva J.A.; Costa P.; Veiga G.; Moreira A.P.","Tavares, Pedro (55936463600); Silva, Joao André (57188734069); Costa, Pedro (55578808033); Veiga, Germano (25643487000); Moreira, António Paulo (55971638300)","55936463600; 57188734069; 55578808033; 25643487000; 55971638300","Flexible work cell simulator using digital twin methodology for highly complex systems in industry 4.0","2018","Advances in Intelligent Systems and Computing","693","","","541","552","11","18","10.1007/978-3-319-70833-1_44","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85033725436&doi=10.1007%2f978-3-319-70833-1_44&partnerID=40&md5=7673cca224c024c12531ebc3d04d5faa","Book chapter","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85033725436"
"Tissot G.; Alpan G.; Mangione F.; Noël F.","Tissot, Geoffrey (58025170400); Alpan, Gülgün (7004361519); Mangione, Fabien (35196657500); Noël, Frédérique (7006750046)","58025170400; 7004361519; 35196657500; 7006750046","A hybrid simulation/optimization architecture for developing a digital twin","2022","IFAC-PapersOnLine","55","10","","532","537","5","1","10.1016/j.ifacol.2022.09.448","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144543241&doi=10.1016%2fj.ifacol.2022.09.448&partnerID=40&md5=7bafee251273555b0aed0e23bcafc387","Conference paper","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85144543241"
"Jeon B.; Yoon J.-S.; Um J.; Suh S.-H.","Jeon, Byeongwoo (57192062365); Yoon, Joo-Sung (24478083900); Um, Jumyung (24478065300); Suh, Suk-Hwan (57031274100)","57192062365; 24478083900; 24478065300; 57031274100","The architecture development of Industry 4.0 compliant smart machine tool system (SMTS)","2020","Journal of Intelligent Manufacturing","31","8","","1837","1859","22","46","10.1007/s10845-020-01539-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078788395&doi=10.1007%2fs10845-020-01539-4&partnerID=40&md5=7e22ea78c90faba9d661b300fa4a8f67","Article","Final","","Scopus","2-s2.0-85078788395"
"Redeker M.; Weskamp J.N.; Rossl B.; Pethig F.","Redeker, Magnus (55616633700); Weskamp, Jan Nicolas (57211501711); Rossl, Bastian (57226684089); Pethig, Florian (55443558600)","55616633700; 57211501711; 57226684089; 55443558600","Towards a digital twin platform for industrie 4.0","2021","Proceedings - 2021 4th IEEE International Conference on Industrial Cyber-Physical Systems, ICPS 2021","","","9468204","39","46","7","15","10.1109/ICPS49255.2021.9468204","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112348850&doi=10.1109%2fICPS49255.2021.9468204&partnerID=40&md5=0380ac4b950a1bfb579fec3888fd2f3d","Conference paper","Final","","Scopus","2-s2.0-85112348850"
"Lattanzi L.; Raffaeli R.; Peruzzini M.; Pellicciari M.","Lattanzi, Luca (36646141200); Raffaeli, Roberto (10739418500); Peruzzini, Margherita (34971929300); Pellicciari, Marcello (26428392600)","36646141200; 10739418500; 34971929300; 26428392600","Digital twin for smart manufacturing: a review of concepts towards a practical industrial implementation","2021","International Journal of Computer Integrated Manufacturing","34","6","","567","597","30","38","10.1080/0951192X.2021.1911003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104313277&doi=10.1080%2f0951192X.2021.1911003&partnerID=40&md5=f07c27d9643e4fe999e489777d099d60","Article","Final","","Scopus","2-s2.0-85104313277"
"Aziz A.; Schelen O.; Bodin U.; Romer L.; Jeroschewski S.E.; Kristan J.","Aziz, Abdullah (57209460303); Schelen, Olov (6602899035); Bodin, Ulf (6505898602); Romer, Lukas (57773301100); Jeroschewski, Sven Erik (57215208549); Kristan, Johannes (57214599964)","57209460303; 6602899035; 6505898602; 57773301100; 57215208549; 57214599964","Empowering The Eclipse Arrowhead Framework with a Digital Twin as a Proxy Service","2022","International Conference on Control, Automation and Systems","2022-November","","","1716","1721","5","0","10.23919/ICCAS55662.2022.10003919","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146562624&doi=10.23919%2fICCAS55662.2022.10003919&partnerID=40&md5=d709f78da93a4558d35abcc0949895ed","Conference paper","Final","","Scopus","2-s2.0-85146562624"
"Steindl G.; Stagl M.; Kasper L.; Kastner W.; Hofmann R.","Steindl, Gernot (57210927410); Stagl, Martin (57221563319); Kasper, Lukas (57217080482); Kastner, Wolfgang (8390971800); Hofmann, Rene (55413515600)","57210927410; 57221563319; 57217080482; 8390971800; 55413515600","Generic digital twin architecture for industrial energy systems","2020","Applied Sciences (Switzerland)","10","24","8903","1","20","19","42","10.3390/app10248903","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099477890&doi=10.3390%2fapp10248903&partnerID=40&md5=81108d526c6503edd7b3cd1b7d6829b0","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85099477890"
"Wang P.; Luo M.","Wang, Pei (57208168381); Luo, Ming (55536980900)","57208168381; 55536980900","A digital twin-based big data virtual and real fusion learning reference framework supported by industrial internet towards smart manufacturing","2021","Journal of Manufacturing Systems","58","","","16","32","16","57","10.1016/j.jmsy.2020.11.012","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097084235&doi=10.1016%2fj.jmsy.2020.11.012&partnerID=40&md5=400a714bc6af079231e39b0c7990cbb2","Article","Final","","Scopus","2-s2.0-85097084235"
"Huang Z.; Fey M.; Liu C.; Beysel E.; Xu X.; Brecher C.","Huang, Ziqi (57267456400); Fey, Marcel (58107405200); Liu, Chao (57194037295); Beysel, Ege (58107362600); Xu, Xun (57749046000); Brecher, Christian (58075284000)","57267456400; 58107405200; 57194037295; 58107362600; 57749046000; 58075284000","Hybrid learning-based digital twin for manufacturing process: Modeling framework and implementation","2023","Robotics and Computer-Integrated Manufacturing","82","","102545","","","","3","10.1016/j.rcim.2023.102545","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148320496&doi=10.1016%2fj.rcim.2023.102545&partnerID=40&md5=d05af7ae371ef0db2decce86b181f5bf","Article","Final","","Scopus","2-s2.0-85148320496"
"Zhang Q.; Wei Y.; Liu Z.; Duan J.; Qin J.","Zhang, Qinglei (25958530500); Wei, Yang (58162496700); Liu, Zhen (57226029188); Duan, Jianguo (22934402400); Qin, Jiyun (53985141500)","25958530500; 58162496700; 57226029188; 22934402400; 53985141500","A Framework for Service-Oriented Digital Twin Systems for Discrete Workshops and Its Practical Case Study","2023","Systems","11","3","156","","","","1","10.3390/systems11030156","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151130222&doi=10.3390%2fsystems11030156&partnerID=40&md5=fdf9b86bc1542c9c332d008355ca065f","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85151130222"
