"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Digital twin modeling method for CNC machine tool","W. Luo; T. Hu; W. Zhu; F. Tao","School of Mechanical Engineering, Shandong University, Jinan 250061, China; School of Mechanical Engineering, Shandong University, Jinan 250061, China; School of Mechanical Engineering, Shandong University, Jinan 250061, China; School of Automation Science and Electrical Engineering, Beihang University, Beijing 100191, China","2018 IEEE 15th International Conference on Networking, Sensing and Control (ICNSC)","21 May 2018","2018","","","1","4","CNC machine tool (CNCMT) is the mother machine of industry, which plays an important role in the coming smart manufacturing. The intelligence of CNCMT has a big significance, which will enables its self-sensing, self-prediction and self-maintenance without user concerns. In order to realize the intelligence of CNCMT, a Digital Twin (DT) modeling method for CNCMT is researched, including a multi-domain unified modeling method, a mapping method and an autonomous strategy. This paper provides a demonstration of DT modeling method for CNCMT.","","978-1-5386-5053-0","10.1109/ICNSC.2018.8361285","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8361285","CNC machine tool (CNCMT);Digital Twin (DT);Smart manufacturing;Fault predict and diagnosis","Unified modeling language;Object oriented modeling;Mathematical model;Computational modeling;Data models;Atmospheric modeling;Machine tools","artificial intelligence;computerised numerical control;intelligent manufacturing systems;machine tools","CNC machine tool;mapping method;DT modeling method;smart manufacturing;Digital Twin modeling;multidomain unified modeling;self-sensing;self-prediction;self-maintenance;CNCMT intelligence","","25","2","21","IEEE","21 May 2018","","","IEEE","IEEE Conferences"
"A Review on Cyber-Physical Systems: Models and Architectures","M. A. Aguida; S. Ouchani; M. Benmalek","Laboratoire des Méthodes de Conception des Systèmes, École nationale Supérieure d’Informatique, Oued-Smar, Algiers, Algeria; LINEACT, CESI Engineering School, France; Laboratoire des Méthodes de Conception des Systèmes, École nationale Supérieure d’Informatique, Oued-Smar, Algiers, Algeria","2020 IEEE 29th International Conference on Enabling Technologies: Infrastructure for Collaborative Enterprises (WETICE)","1 Feb 2021","2020","","","275","278","The increasing proliferation of Cyber-Physical Systems (CPS) in industry and academia bring researchers to work on CPS architectures and models seeking for enhancing the performance and gaining the full potential of the system. This work aims to provide a holistic view of the initiatives done during the last five years in modeling and designing CPS. We define three major classes of CPS covering Smart Healthcare, Smart Manufacturing, and Smart City. We also provide a review of the recent developed architectures and models for each class. Based on the surveyed literature, we identified many open issues and we suggested possible future research directions.","2641-8169","978-1-7281-6975-0","10.1109/WETICE49692.2020.00060","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9338566","Cyber-Physical Systems;Smart Healthcare;Smart Manufacturing;Smart City;CPS Architecture;CPS Model","Industries;Smart cities;Conferences;Collaboration;Medical services;Cyber-physical systems;Smart manufacturing","cyber-physical systems;health care;intelligent manufacturing systems;modelling;simulation;smart cities","CPS architectures;smart healthcare;smart manufacturing;smart city;cyberphysical system models;CPS modeling;model based simulation","","1","","29","IEEE","1 Feb 2021","","","IEEE","IEEE Conferences"
"Intelligent Manufacturing with Digital Twin","D. P. F. Möller; H. Vakilzadian; W. Hou","Clausthal University of Technology (TUC), Germany; University of Nebraska-Lincoln, USA; Zhengzhou University, China","2021 IEEE International Conference on Electro Information Technology (EIT)","26 Jul 2021","2021","","","413","418","The age of digital transformation will have a significant impact on industry and society. Designing, developing, and manufacturing products is more based on the influence of the fourth technological wave with its possibilities through digital transformation. The digital twin is commonly known as a key enabler for digital transformation at all scales – for large and small businesses, for organizations and individuals, globally and locally. The new challenges through digital transformation are seen as an opportunity to achieve higher levels of solutions to handle the different innovative technological methods with regard to quality in production in the manufacturing industry. Due to the complexity of intelligent manufacturing, an advanced and complex tool is required to (i) investigate, (ii) monitor, and (iii) simulate the intelligent manufacturing processes in real-time. The tool to achieve this goal is the digital twin, which works in parallel to sense, monitor, and control manufacturing devices and cyber-physical production systems across the manufacturing plant network infrastructure. The digital twin performs real-time optimization and evaluates the metrics of the execution of the intelligent manufacturing system. This paper introduces intelligent manufacturing and the digital twin as key enablers for the digital transformation in intelligent manufacturing.","2154-0373","978-1-6654-1846-1","10.1109/EIT51626.2021.9491874","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9491874","Digital twins;Intelligent manufacturing","Manufacturing industries;Performance evaluation;Digital twin;Digital transformation;Process planning;Tools;Real-time systems","intelligent manufacturing systems;manufacturing industries;production engineering computing","digital transformation;manufacturing products;manufacturing industry;intelligent manufacturing processes;control manufacturing devices;manufacturing plant network infrastructure;digital twin;intelligent manufacturing system","","3","","8","IEEE","26 Jul 2021","","","IEEE","IEEE Conferences"
"Towards a Cloud-Based Controller for Data-Driven Service Orchestration in Smart Manufacturing","V. Tountopoulos; E. Kavakli; R. Sakellariou","Athens Technology Center S.A., Chalandri, Greece; Department of Cultural Technology and Communication, University of the Aegean, Mitilini, Greece; School of Computer Science, The University of Manchester, Manchester, UK","2018 Sixth International Conference on Enterprise Systems (ES)","27 Dec 2018","2018","","","96","99","The orchestration of smart manufacturing service operations and processes arises as a challenging step in the realization of the Industry 4.0 vision. This paper presents the work in progress towards the specifications of a controlling environment for data-driven orchestration of software services in future smart manufacturing scenarios. The paper discusses the role and significance of multi-aspect data in the management of manufacturing operations and proposes a reference architecture for controlling the orchestration of the respective data services, following the work that has been conducted in the context of the EU-funded project DISRUPT.","2572-6609","978-1-5386-8388-0","10.1109/ES.2018.00022","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8588264","smart manufacturing;data-driven service orchestration;controller","Smart manufacturing;Computer architecture;Cloud computing;Industries;Supply chains;Process control","cloud computing;manufacturing systems;production engineering computing;production management;service-oriented architecture","cloud-based controller;data-driven service orchestration;smart manufacturing service operations;software services;Industry 4.0;EU-funded project DISRUPT;service-oriented architecture;production management","","3","","10","IEEE","27 Dec 2018","","","IEEE","IEEE Conferences"
"A Reconfigurable Method for Intelligent Manufacturing Based on Industrial Cloud and Edge Intelligence","H. Tang; D. Li; J. Wan; M. Imran; M. Shoaib","School of Mechanical and Automotive Engineering, South China University of Technology, Guangzhou, China; School of Mechanical and Automotive Engineering, South China University of Technology, Guangzhou, China; School of Mechanical and Automotive Engineering, South China University of Technology, Guangzhou, China; College of Computer and Information Science, King Saud University, King Saud University, Riyadh, Saudi Arabia; College of Computer and Information Science, King Saud University, King Saud University, Riyadh, Saudi Arabia","IEEE Internet of Things Journal","13 May 2020","2020","7","5","4248","4259","The development of Industry 4.0 has provided the possibility to meet frequent changes in product type and batches, a sharp decline in the delivery cycle, constraints of quality cost, and other relevant parameters of customized production mode. Intelligent manufacturing, as a core of Industry 4.0, represents a deep integration of new IT technologies, such as the industrial Internet of Things and service-oriented architecture, and manufacturing process. To realize intelligent manufacturing, this article introduces a cloud-assisted and edge-decision-making manufacturing architecture that contains a cloud and production edges. An intelligent production edge is designed to provide the traditional devices the abilities of data access and self-decision making. Besides, the proposed architecture is modeled as a multiagent system with the edge intelligence support, describing the agent-based reconfiguration mechanism from the three aspects, namely, agent interaction, agent behavior, and negotiation mechanism. The experimental results show that the reconfigurable method based on the proposed architecture can be used in the mixed-flow production scenario based on random orders, to improve the adaptability and robustness.","2327-4662","","10.1109/JIOT.2019.2950048","National Basic Research Program of China (973 Program)(grant numbers:2018YFB1700500); National Natural Science Foundation of China(grant numbers:51605168); Science and Technology Planning Project of Guangdong Province(grant numbers:2017B090913002,2017B090914002); Smart Manufacturing Project of Integrated Standardization and New Application Model, and the Major Science and Technology Project of Dongguan City(grant numbers:2018215102006); Science and Technology Program of Guangzhou, China(grant numbers:201802030005); Deanship of Scientific Research at King Saud University through Research Group(grant numbers:RG-1435-051); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8887246","Edge computing;intelligent manufacturing;multiagent system (MAS)","Cloud computing;Computer architecture;Task analysis;Manufacturing systems;Hardware","cloud computing;decision making;intelligent manufacturing systems;manufacturing processes;multi-agent systems;service-oriented architecture","Industry 4.0;customized production mode;industrial cloud;mixed-flow production scenario;reconfigurable method;agent-based reconfiguration mechanism;edge intelligence support;intelligent production edge;edge-decision-making manufacturing architecture;intelligent manufacturing;manufacturing process;service-oriented architecture","","39","","26","IEEE","30 Oct 2019","","","IEEE","IEEE Journals"
"Enhancing a Biological inspired Self-organized Architecture towards Smart Manufacturing","L. A. Estrada-Jimenez; T. Pulikottil; S. Kalateh; S. N. Hojjati; J. Barata","Centre of Technology and Systems, UNINOVA Instituto Desenvolvimento de Novas Tecnologias, Caparica, Portugal; Centre of Technology and Systems, UNINOVA Instituto Desenvolvimento de Novas Tecnologias, Caparica, Portugal; Centre of Technology and Systems, UNINOVA Instituto Desenvolvimento de Novas Tecnologias, Caparica, Portugal; Centre of Technology and Systems, UNINOVA Instituto Desenvolvimento de Novas Tecnologias, Caparica, Portugal; Centre of Technology and Systems, UNINOVA Instituto Desenvolvimento de Novas Tecnologias, Caparica, Portugal","2022 IEEE International Conference on Industrial Technology (ICIT)","5 Jan 2023","2022","","","1","7","In last decades, new manufacturing requirements have introduced new approaches for distributed control and automation, some of them introducing concepts as self-organization and emergence. BIOSOARM (a Bio-inspired Self-organising Architecture for Manufacturing Cyber-physical Shopfloors) is an example of such architectures. It has significant insights regarding self-organization, pluggability and scalability of manufacturing resources. Despite such architectural patterns, there are aspects that can be integrated and enhanced e.g. the utilization of experience-based knowledge, stability mechanisms, process optimization, etc. These aspects are also part of current industrial expectations and can improve its adaptability and evolvability. Thus, the major contribution of this paper is to have a path and discussion towards enhancing BIOSOARM by means of a weaknesses analysis. As a result, new building blocks to the existing BIOSOARM architecture are proposed. The matrix production concept is suggested as a potential use case of the current approach.","","978-1-7281-1948-9","10.1109/ICIT48603.2022.10002768","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10002768","cyber-physical production systems;self-organization;smart manufacturing;bio-inspired architecture","Measurement;Architecture;Scalability;Process control;Switches;Stability analysis;Stakeholders","cloud computing;distributed control;intelligent manufacturing systems;manufacturing systems;production engineering computing;self-adjusting systems;service-oriented architecture;software architecture","architectural patterns;Bio-inspired Self-organising Architecture;current industrial expectations;distributed control;existing BIOSOARM architecture;experience-based knowledge;Manufacturing Cyber-physical Shopfloors;manufacturing requirements;manufacturing resources;matrix production concept;pluggability;process optimization;self-organization;significant insights;smart Manufacturing;stability mechanisms","","","","26","IEEE","5 Jan 2023","","","IEEE","IEEE Conferences"
"A Novel Implementation Framework of Digital Twins for Intelligent Manufacturing Based on Container Technology and Cloud Manufacturing Services","M. -H. Hung; Y. -C. Lin; H. -C. Hsiao; C. -C. Chen; K. -C. Lai; Y. -M. Hsieh; H. Tieng; T. -H. Tsai; H. -C. Huang; H. -C. Yang; F. -T. Cheng","Department of Computer Science and Information Engineering, Chinese Culture University, Taipei, Taiwan; Institute of Manufacturing Information and Systems, National Cheng Kung University, Tainan, Taiwan; Department of Computer Science and Information Engineering, National Cheng Kung University, Tainan, Taiwan; Institute of Manufacturing Information and Systems, National Cheng Kung University, Tainan, Taiwan; Department of Computer Science, National Taichung University of Education, Taichung, Taiwan; Institute of Manufacturing Information and Systems, National Cheng Kung University, Tainan, Taiwan; Institute of Manufacturing Information and Systems, National Cheng Kung University, Tainan, Taiwan; Institute of Manufacturing Information and Systems, National Cheng Kung University, Tainan, Taiwan; Institute of Manufacturing Information and Systems, National Cheng Kung University, Tainan, Taiwan; Institute of Electrical Engineering, National Kaohsiung University of Science and Technology, Kaohsiung, Taiwan; Institute of Manufacturing Information and Systems, National Cheng Kung University, Tainan, Taiwan","IEEE Transactions on Automation Science and Engineering","4 Jul 2022","2022","19","3","1614","1630","Many core technologies of Industry 4.0 have gained substantial advancement in recent years. Digital Twin (DT) has become the key technology and tool for manufacturing industries to realize intelligent cyber-physical integration and digital transformation by leveraging these technologies. Although there have been many DT-related works, there is no standard definition, unified framework, and implementation approach of DT until now. Widely developing DTs for the manufacturing industry is still challenging. Thus, this paper proposes a novel implementation framework of digital twins for intelligent manufacturing, denoted as IF-DTiM, which possesses several distinct merits to distinguish itself from previous works. First, IF-DTiM fully utilizes new-generation container technology so that DT-related applications and services can be packaged in a self-contained way, rapidly deployed, and robustly operated with the capabilities of failover, autoscaling, and load balancing. Second, it leverages existing intelligent cloud manufacturing services to realize the intelligence for DT externally in a scalable and plug-and-play manner instead of using traditional approaches to embed intelligence in DT. Third, IF-DTiM contains Product DT for products, Equipment DT (i.e., EQ DT) for equipment, and Process DT for production lines, which can generically fulfill the demands and scenarios to achieve intelligent manufacturing for various manufacturing industries. Testing results show that IF-DTiM can achieve remarkable performance in rapid deployment and real-time data exchanges of DT-related applications. Finally, we develop an example DTiM system for CNC machining based on IF-DTiM to demonstrate its efficacy and applicability in facilitating the manufacturing industry to build their DT systems. Note to Practitioners—Developing Digital Twin (DT) systems to realize intelligent manufacturing is challenging. The proposed IF-DTiM (Implementation Framework of Digital Twins for Intelligent Manufacturing) provides a novel container-technology and cloud-manufacturing-service-based systematic methodology for building DTiM. In this paper, we present the system architecture and several operational scenarios (e.g., how to create and use DTs) of IF-DTiM, together with the design of its core functional mechanisms (e.g., rapid deployment scheme for DT, real-time data exchange for DT, DT interface pattern, and general workflow architecture for DT). Also, an example DTiM system for CNC machining based on IF-DTiM is presented to facilitate the practitioners to adopt the designs and niches in IF-DTiM to build their desired DTiM systems.","1558-3783","","10.1109/TASE.2022.3143832","Intelligent Manufacturing Research Center (iMRC) through the Featured Areas Research Center Program within the framework of the Higher Education Sprout Project by the Ministry of Education (MOE) in Taiwan; Ministry of Science and Technology of Taiwan(grant numbers:MOST 110-2218-E-006-027,MOST 108-2221-E-034-015-MY2,MOST 110-2221-E-034-009-MY2,MOST 110-2221-E-006-124); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9697094","Implementation framework;digital twins;intelligent manufacturing;container technology","Manufacturing;Containers;Digital twin;Software;Manufacturing industries;Fourth Industrial Revolution;Cloud computing","cloud computing;computerised numerical control;containers;cyber-physical systems;intelligent manufacturing systems;machining;manufacturing industries;production engineering computing;real-time systems","cloud-manufacturing-service-based systematic methodology;DT interface pattern;novel implementation framework;intelligent manufacturing;intelligent cyber-physical integration;digital twins;new-generation container technology;IF-DTiM system;core technologies;industry 4.0;manufacturing industries;digital transformation;real-time data exchanges;CNC machining","","5","","46","IEEE","31 Jan 2022","","","IEEE","IEEE Journals"
"Application of Industrial Robot and Internet of Things in Intelligent Manufacturing System Supported by Software and Hardware","X. Xu; X. Liang; Z. Guo","School of Information Engineering, Eurasia University, Xi'an, Shaanxi, China; Innochip Technology Company, Nanjing, Jiangsu, China; Shaanxi Aerospace Power High-tech Co., Ltd, Xi'an, Shaanxi, China","2022 IEEE International Conference on Electrical Engineering, Big Data and Algorithms (EEBDA)","6 Apr 2022","2022","","","415","418","This article explains the current situation and research significance of intelligent manufacturing, and studies the necessary resources required for the composition of the intelligent manufacturing system from the three levels of the basic layer, the platform layer, and the application layer. Finally, it explores and proposes a three-layer framework for the intelligent manufacturing system.","","978-1-6654-1606-1","10.1109/EEBDA53927.2022.9744902","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9744902","Industrial Robot;Internet of Things;Intelligent Manufacturing","Electrical engineering;Production management;Service robots;Software;Hardware;Manufacturing;Internet of Things","industrial robots;intelligent manufacturing systems;Internet of Things;production engineering computing","industrial robot;Internet Of Things;intelligent manufacturing system;three-layer framework;hardware;software","","","","5","IEEE","6 Apr 2022","","","IEEE","IEEE Conferences"
"A Reference Architecture Based on Edge and Cloud Computing for Smart Manufacturing","J. Vater; L. Harscheidt; A. Knoll","BMW Group, Production and Planning of Electrified Powertrains, Munich, Germany; BMW Group, Production and Planning of Electrified Powertrains, Munich, Germany; Robotics, Artificial Intelligence and Real-time Systems, Technical University of Munich, Munich, Germany","2019 28th International Conference on Computer Communication and Networks (ICCCN)","26 Sep 2019","2019","","","1","7","The paper examines the development of production systems from automated to data analysis-supported process control. In current concepts, process optimization is carried out by data analysis with the help of a decision support system after the production process. Prescriptive automation envisages controlling the process before and autonomously on the basis of a prescriptive analytics model. The development of an IT architecture is identified as an essential part of the overall concept. On the basis of expert interviews and current literature reviews, the question is answered, which requirements an IT architecture for prescriptive automation has to fulfill. These requirements are opposed to solution components with the goal of a modular architectural concept. On basis of the requirements and therefore needed solution components, a reference architecture is identified on the assumption of the data processing resources. The main processing components of this architecture are a combination of edge and cloud computing.","2637-9430","978-1-7281-1856-7","10.1109/ICCCN.2019.8846934","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8846934","","Production;Process control;Computer architecture;Cloud computing;Automation;Smart manufacturing;Prognostics and health management","cloud computing;data analysis;decision support systems;intelligent manufacturing systems;process control;software architecture","modular architectural concept;reference architecture;data processing resources;cloud computing;smart manufacturing;production systems;data analysis-supported process control;process optimization;decision support system;production process;prescriptive analytics model;IT architecture;prescriptive automation;edge computing","","9","","46","IEEE","26 Sep 2019","","","IEEE","IEEE Conferences"
"Supervisory Control of Reconfigurable Manufacturing Systems based on NCESs","J. Zhang; S. Tang; Z. Li","School of Mechano-electronic Engineering, Xidian University, Xi'an, China; Xi'an Institute of Space Radio Technology, Xi'an, China; Institute of Systems Engineering, School of Mechano-electronic Engineering, Macau University of Science and Technology, Xidian University, Taipa, Xi'an, Macau","2019 18th European Control Conference (ECC)","15 Aug 2019","2019","","","1746","1751","This work proposes a supervisory control method for reconfigurable manufacturing systems (RMSs) based on net condition/event systems (NCESs) under the firing rule `maximal single spontaneous transition steps'. It is assumed that the occurrence of a reconfiguration event changes the system configuration immediately and a reconfiguration requirement is triggered randomly in the current work. For the safety of an RMS, the implementation of system reconfigurations is only permitted at some specific plant states. However, it is unreasonable to execute a system reconfiguration immediately at a reconfigurable state, when current on-going manufacturing tasks are not finished. In order to keep the continuity of production process and to avoid confusion of an RMS, a novel reconfiguration control structure based on NCESs is proposed, where a reconfiguration controller (RC) performs the implementation of reconfigurations and a task supervisor (TS) monitors the execution status of tasks. The applicability of the method is illustrated by using a simple RMS.","","978-3-907144-00-8","10.23919/ECC.2019.8796179","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8796179","","","control engineering computing;discrete event systems;flexible manufacturing systems;production engineering computing","reconfigurable manufacturing systems;NCESs;supervisory control method;firing rule maximal single spontaneous transition steps;reconfiguration event changes;system configuration;reconfiguration requirement;system reconfiguration;reconfigurable state;manufacturing tasks;novel reconfiguration control structure;reconfiguration controller;supervisory control","","1","","23","","15 Aug 2019","","","IEEE","IEEE Conferences"
