"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Angione G.; Cristalli C.; Barbosa J.; Leitao P.","Angione, Giacomo (36620732700); Cristalli, Cristina (57193261403); Barbosa, Jose (48360905400); Leitao, Paulo (35584388900)","36620732700; 57193261403; 48360905400; 35584388900","Integration challenges for the deployment of a multi-stage zero-defect manufacturing architecture","2019","IEEE International Conference on Industrial Informatics (INDIN)","2019-July","","8972259","1615","1620","5","12","10.1109/INDIN41052.2019.8972259","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079065306&doi=10.1109%2fINDIN41052.2019.8972259&partnerID=40&md5=63954f5c6cc039c8e359af8dc737f899","Conference paper","Final","","Scopus","2-s2.0-85079065306"
"Sudeikat J.; Kohler-Bußmeier M.","Sudeikat, Jan (8691343100); Kohler-Bußmeier, Michael (26646705100)","8691343100; 26646705100","Towards Integrating Multi-Agent Organizations in OPC UA for Developing Adaptive Cyber-Physical Systems","2022","Lecture Notes in Informatics (LNI), Proceedings - Series of the Gesellschaft fur Informatik (GI)","P-326","","","1565","1570","5","0","10.18420/inf2022_135","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139802016&doi=10.18420%2finf2022_135&partnerID=40&md5=28c91b89424dfff3375c7841a8c23721","Conference paper","Final","","Scopus","2-s2.0-85139802016"
"Januario F.; Cardoso A.; Gil P.","Januario, Fabio (55263125900); Cardoso, Alberto (57226265432); Gil, Paulo (57202810878)","55263125900; 57226265432; 57202810878","Resilience enhancement through a multi-agent approach over cyber-physical systems","2018","Proceedings of 2018 10th International Conference on Information Technology and Electrical Engineering: Smart Technology for Better Society, ICITEE 2018","","","8534764","231","236","5","3","10.1109/ICITEED.2018.8534764","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058389169&doi=10.1109%2fICITEED.2018.8534764&partnerID=40&md5=e541fe455db4a2f26de8444753759e94","Conference paper","Final","","Scopus","2-s2.0-85058389169"
"Andrianova E.; Poltorak A.","Andrianova, Elena (57200555430); Poltorak, Alexey (57431825900)","57200555430; 57431825900","Approaches to Creating a Multi-agent Architecture in the Industrial Internet of Things Systems","2021","Proceedings - 2021 3rd International Conference on Control Systems, Mathematical Modeling, Automation and Energy Efficiency, SUMMA 2021","","","","867","871","4","0","10.1109/SUMMA53307.2021.9632119","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123739097&doi=10.1109%2fSUMMA53307.2021.9632119&partnerID=40&md5=872cf070e8e670e1aa29df77697805ab","Conference paper","Final","","Scopus","2-s2.0-85123739097"
"Lyu G.; Brennan R.W.","Lyu, Guolin (57190071184); Brennan, Robert W. (58046368200)","57190071184; 58046368200","Multi-agent Based IEC 61499 Function Block Modelling for Distributed Intelligent Automation","2023","Lecture Notes in Mechanical Engineering","","","","395","407","12","0","10.1007/978-3-031-17629-6_41","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148236461&doi=10.1007%2f978-3-031-17629-6_41&partnerID=40&md5=f5824e97cf8794469f5097a98537cfd9","Conference paper","Final","","Scopus","2-s2.0-85148236461"
"Liu W.; Zhao C.; Zhang W.; Liu Y.; Zhang H.","Liu, Wenzheng (57210798367); Zhao, Chun (57220883575); Zhang, Wenjia (57216982178); Liu, Yue (57226760238); Zhang, Heming (55796530600)","57210798367; 57220883575; 57216982178; 57226760238; 55796530600","An Switchable Multi-resolution Architecture of Cyber-Physical Manufacturing Systems (CPMS) for Industrial Robots Collaboration","2021","2021 6th International Conference on Robotics and Automation Engineering, ICRAE 2021","","","","297","302","5","0","10.1109/ICRAE53653.2021.9657781","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124794031&doi=10.1109%2fICRAE53653.2021.9657781&partnerID=40&md5=251acae941d44d71b0ac16d34c60ce74","Conference paper","Final","","Scopus","2-s2.0-85124794031"
"Zakoldaev D.A.; Gurjanov A.V.; Shukalov A.V.; Zharinov I.O.; Zharinov O.O.","Zakoldaev, D.A. (57021875400); Gurjanov, A.V. (57192234016); Shukalov, A.V. (57210318844); Zharinov, I.O. (57212047827); Zharinov, O.O. (56607172800)","57021875400; 57192234016; 57210318844; 57212047827; 56607172800","Cyber and Physical Systems Topology for the Industry 4.0 Smart Factory","2019","IOP Conference Series: Materials Science and Engineering","582","1","012010","","","","1","10.1088/1757-899X/582/1/012010","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076350114&doi=10.1088%2f1757-899X%2f582%2f1%2f012010&partnerID=40&md5=074acf07c995e66d7516bfedc0859d7c","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85076350114"
"Dowdeswell B.; Sinha R.; Macdonell S.G.","Dowdeswell, Barry (14028292400); Sinha, Roopak (9334743900); Macdonell, Stephen G. (6701732791)","14028292400; 9334743900; 6701732791","Architecting an agent-based fault diagnosis engine for IEC 61499 industrial cyber-physical systems","2021","Future Internet","13","8","190","","","","3","10.3390/fi13080190","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111761179&doi=10.3390%2ffi13080190&partnerID=40&md5=7d022cb19cc9bb2e11be3b7701cc7cc2","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85111761179"
"Wan G.; Nie Z.; Wang P.; Zeng P.","Wan, Guangxi (57201988412); Nie, Zhenbang (57201979879); Wang, Peng (57221237478); Zeng, Peng (8837065200)","57201988412; 57201979879; 57221237478; 8837065200","The component-based design method for agent-based multi-AGV system","2019","IEEE International Conference on Industrial Informatics (INDIN)","2019-July","","8971962","647","654","7","0","10.1109/INDIN41052.2019.8971962","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079047641&doi=10.1109%2fINDIN41052.2019.8971962&partnerID=40&md5=433faec028f3c0945cfd709bcf6c7bab","Conference paper","Final","","Scopus","2-s2.0-85079047641"
"Januário F.; Cardoso A.; Gil P.","Januário, Fábio (55263125900); Cardoso, Alberto (57226265432); Gil, Paulo (57202810878)","55263125900; 57226265432; 57202810878","A Distributed Multi-Agent Framework for Resilience Enhancement in Cyber-Physical Systems","2019","IEEE Access","7","","8662559","31342","31357","15","15","10.1109/ACCESS.2019.2903629","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064686452&doi=10.1109%2fACCESS.2019.2903629&partnerID=40&md5=9c42afbf973fe2baf07c0829c220a5a6","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85064686452"
