"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Modular Virtual Preparation method of production systems using a Digital Twin architecture","A. Albo; L. Svedlund; P. Falkman","Department of Facility, Tool & Equipment Volvo Cars, ME Paint Torslanda, Gothenburg, Sweden; Department of Electrical Engineering, Chalmers University of Technology, Gothenburg, Sweden; Department of Electrical Engineering, Chalmers University of Technology, Gothenburg, Sweden","2021 26th IEEE International Conference on Emerging Technologies and Factory Automation (ETFA )","30 Nov 2021","2021","","","1","8","Even though virtual engineering and preparational work within the automotive industry has become more widely used over the last years with its possibilities to improve software quality and reduce physical commissioning time, it is still a costly investment for most companies when implementing or upgrading production systems. The different approaches and key factors to reduce the costs are to investigate how to reduce the development time of modeling and which practice or standard is most suitable for a certain application. A developer needs to expand the utilization of the virtual work and the re-usability of its digital models, in addition, to find a balance of the required level of modeling details according to the required functionality. This paper presents a framework with a modular software setup that simulates a 3-DOF robot in three different cases with different levels of detail. The outcome of the cases is evaluated in the context of functionality, usefulness, and affordability. The paper further discusses and explores potential use in regards to the concept of Virtual Commissioning and Digital Twin.","","978-1-7281-2989-1","10.1109/ETFA45728.2021.9613654","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9613654","modeling;modular systems;co-simulation;digital twin;digital model;virtual preparation;virtual commissioning","Software packages;Digital twin;Focusing;Computer architecture;Software quality;Tools;Tuning","automobile industry;control engineering computing;cost reduction;industrial robots;investment;software quality;virtual manufacturing","digital twin architecture;virtual engineering;automotive industry;software quality;physical commissioning time;digital models;virtual commissioning;modular virtual preparation method;investment;cost reduction;3-DOF robot","","1","","23","IEEE","30 Nov 2021","","","IEEE","IEEE Conferences"
"Virtual Commissioning Simulation as OpenAI Gym - A Reinforcement Learning Environment for Control Systems","F. Jaensch; L. Klingel; A. Verl","ISW University of Stuttgart, Stuttgart, Germany; ISW University of Stuttgart, Stuttgart, Germany; ISW University of Stuttgart, Stuttgart, Germany","2022 5th International Conference on Artificial Intelligence for Industries (AI4I)","15 May 2023","2022","","","64","67","Manual development of control systems’ software is time-consuming and error-prone. Thus, high costs are already incurred in this phase of mechatronic system development. Virtual prototypes have so far only been used for testing purposes, such as virtual commissioning, but not for the automated creation of the control. A good test environment can also be extended to a learning environment with appropriate trial and error based algorithms. This work shows an approach to extend an industrial software tool for virtual commissioning as a standardized OpenAI gym environment. Thereby, established reinforcement learning algorithms can be used more easily and a step towards an industrial application of self-learning control systems can be made. The goal of this work is to provide industry and research with a platform for easy entry into the field of reinforcement learning.","2770-4718","978-1-6654-5961-7","10.1109/AI4I54798.2022.00023","Ministry of Education; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10123668","reinforcement learning;virtual commissioning;simulation;digital twin","Industries;Mechatronics;Costs;Software algorithms;Prototypes;Reinforcement learning;Manuals","control engineering computing;learning (artificial intelligence);mechatronics;power engineering computing;public domain software;reinforcement learning;software tools","appropriate trial;automated creation;error based algorithms;error-prone;established reinforcement learning algorithms;good test environment;industrial software tool;learning environment;manual development;mechatronic system development;self-learning control systems;standardized OpenAI gym environment;testing purposes;virtual commissioning simulation;virtual prototypes","","","","14","IEEE","15 May 2023","","","IEEE","IEEE Conferences"
"Hybrid Commissioning of Production Plants","S. Fur; O. Riedel; A. Verl","Institute for Control Engineering of Machine Tools and Manufacturing Units, University of Stuttgart, Stuttgart, Germany; Institute for Control Engineering of Machine Tools and Manufacturing Units, University of Stuttgart, Stuttgart, Germany; Institute for Control Engineering of Machine Tools and Manufacturing Units, University of Stuttgart, Stuttgart, Germany","2021 26th IEEE International Conference on Emerging Technologies and Factory Automation (ETFA )","30 Nov 2021","2021","","","1","6","For the commissioning of production plants, the virtual commissioning (VCOM) method has proven to accelerate the overall commissioning time by increasing the software quality of the plant controller. VCOM is carried out in advance of the commissioning of the real plant, using a simulated plant. However, the hard transition from the simulated to the real plant proves to be problematic if components of the real plant are not available. In these cases the hybrid commissioning (HCOM) method, a hardware-in-the-loop (HIL) simulation setup including both real and simulated components, is desirable. In this article, the disadvantages of a hard transition of VCOM, the concept of the HCOM and it's benefits for commissioning production plants are explained and discussed. Also, an evaluation of an implementation is briefly presented.","","978-1-7281-2989-1","10.1109/ETFA45728.2021.9613256","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9613256","Virtual Fusion;Hybrid Process Simulation;Virtual Commissioning;HIL Simulation;Virtual Factory;Simulation","Costs;IEEE Sections;Hardware-in-the-loop simulation;Conferences;Production;Software quality;Packaging","control engineering computing;hardware-in-the-loop simulation;industrial plants;production engineering computing;software quality","virtual commissioning method;VCOM;software quality;plant controller;simulated plant;hybrid commissioning method;hardware-in-the-loop simulation setup;production plants","","2","","18","IEEE","30 Nov 2021","","","IEEE","IEEE Conferences"
"Mechatronic Swarm and its Virtual Commissioning","T. Lyu; A. Lashchev; S. Patil; U. D. Atmojo; V. Vyatkin","Department of Electrical Engineering and Automation, Aalto University, Espoo, Finland; Independent researcher; Department of Computer Science, Computer and Space Engineering, Luleå Tekniska Universitet, Sweden; Department of Electrical Engineering and Automation, Aalto University, Espoo, Finland; Department of Electrical Engineering and Automation, Aalto University, Espoo, Finland","2023 IEEE International Conference on Mechatronics (ICM)","17 Apr 2023","2023","","","1","6","This paper presents a swarm-based architecture for the composition of mechatronic systems from smart components complemented by a Virtual Commissioning (VC) environment. The architecture is based on the IEC 61499 standard. The proposed solution enables plug-and-play composition of the system which is ready to operate ”out of the box” right after it was composed without extra programming.","","978-1-6654-6661-5","10.1109/ICM54990.2023.10101912","European Commission; European Commission; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10101912","Intelligent mechatronics;swarm intelligence;plug and produce;IEC 61499;virtual commissioning.","Mechatronics;Programming;IEC Standards;Standards","IEC standards;mechatronics","IEC 61499 standard;mechatronic swarm;mechatronic systems;virtual commissioning environment","","","","19","IEEE","17 Apr 2023","","","IEEE","IEEE Conferences"
"Supporting the Design, Commissioning and Supervision of Smart Factory Components through their Digital Twin","A. Martins; H. Costelha; C. Neves","Polytechnic of Leiria, DEE ESTG, Leiria, Portugal; Polytechnic of Leiria, INESC TEC, Porto, Portugal ESTG, Leiria, Portugal; Polytechnic of Leiria, INESC COIMBRA, Coimbra, Portugal ESTG, Leiria, Portugal","2020 IEEE International Conference on Autonomous Robot Systems and Competitions (ICARSC)","19 May 2020","2020","","","114","119","In a context of greater complexity of Smart Factories, the commissioning time for automated systems needs to be shortened. The use of virtual commissioning tools is a good contribution to achieve this goal. Ideally, those tools should be part of a virtual engineering environment sharing same virtual model, the digital twin, through the complete lifecycle of the automated system, namely the project, simulation, implementation and execution/monitoring/supervision and, eventually decommissioning phases. Such vision includes a digital twin with a broader use, which is consistent with the real system and one that can be used after the early design and commissioning phases. Finding a complete set of tools able to comply with the above requirements can be extremely challenging. In this paper we explore the use of the ABB RobotStudio software combined with the OPC UA standard with this vision in mind. Methodologies were defined to integrate both new generation and legacy equipment, as well as robot controllers and guidelines for equipment development. A key result of this work is the development of a set of virtual engineering tools and methodologies based on OPC UA and implemented using RobotStudio in order to accomplish the complete lifecycle support of an automated system, from the project and simulation phases, to the monitoring and supervision phases, suitable for integration in Industry 4.0 factories. Results are described for a test scenario with different devices.","","978-1-7281-7078-7","10.1109/ICARSC49921.2020.9096072","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9096072","Virtual Commissioning;Simulation;Digital Twin;Industry 4.0;OPC UA;RobotStudio;Industrial Robotics","Tools;Object oriented modeling;Software;Service robots;Industries;Smart manufacturing","factory automation;flexible manufacturing systems;industrial robots;production engineering computing;production facilities;robot programming;virtual manufacturing","smart factory components;digital twin;commissioning time;virtual commissioning tools;virtual engineering environment;automated system;ABB RobotStudio software;simulation phases;OPC UA standard;Industry 4.0 factories","","6","","19","IEEE","19 May 2020","","","IEEE","IEEE Conferences"
"Virtual Testing in Automated Driving Systems Certification. A Longitudinal Dynamics Validation Example","R. Donà; S. Vass; K. Mattas; M. C. Galassi; B. Ciuffo","Uni Systems Italy, Milano, Italy; European Commission Joint Research Centre (JRC), Ispra (VA), Italy; European Commission Joint Research Centre (JRC), Ispra (VA), Italy; European Commission Joint Research Centre (JRC), Ispra (VA), Italy; European Commission Joint Research Centre (JRC), Ispra (VA), Italy","IEEE Access","9 May 2022","2022","10","","47661","47672","The safety validation of Automated Driving Systems (ADSs) needs a combination of tools to ensure testing in a broad range of traffic scenarios. Among the others, virtual testing is expected to play a major role in the future. Differently from other methods, virtual testing allows examining an ADS in complex driving scenarios involving several road users and characterized by any level of criticality in a safe, efficient and effective way. However, before virtual testing can be used in the ADS certification process, proper validation methodologies have to be established to ensure the appropriateness of the simulation-generated evidence to the end of establishing a “virtual proving ground” regardless of the specific ADS. In this context, the present paper summarizes the results of the virtual environment validation exercise which involved a Vehicle-Hardware-in-the-Loop (VeHIL) setup against real-world experiments. The analysis only embraces the longitudinal dynamics due to the limitation of the virtual environment. Nonetheless, the methodology presented can be straightforwardly extended to different toolchains to cover more advanced ADS for the sake of virtual certification. The manuscript has a twofold contribution. On one side, it gives a quantitative estimation of the fidelity level achievable using a state-of-the-art VeHIL environment, thus standing apart from validation activities purely based on qualitative comparisons and contributions mostly concerned with the validation of the ADS itself. Secondly, it provides an end-to-end validation procedure that could be generalized to other cases of study or different testing setups. The results achieved are encouraging as they show an overall good match between real-world and simulated data. However, open issues remain in order to define a complete validation framework for virtual testing environments.","2169-3536","","10.1109/ACCESS.2022.3171180","European Commission Joint Research Centre; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9765490","Automated driving;model validation;simulation;virtual testing","Testing;Vehicle dynamics;Certification;Pipelines;Standards;Europe;Virtual environments","certification;driver information systems;road safety;road traffic;road vehicles;testing","virtual testing environments;longitudinal dynamics validation example;safety validation;complex driving scenarios;ADS certification process;proper validation methodologies;virtual proving ground;virtual environment validation exercise;virtual certification;validation activities;end-to-end validation procedure;testing setups;automated driving systems certification","","2","","32","CCBY","29 Apr 2022","","","IEEE","IEEE Journals"
"A Virtual Commissioning Selection Approach for Machine Automation","D. Siegrist; A. Matsikis; S. Dirbach; A. Volz; F. Bellalouna","Maxolution Sew-Eurodrive GmbH & Co KG, Bruchsal, Germany; Maxolution Sew-Eurodrive GmbH & Co KG, Bruchsal, Germany; Maxolution Sew-Eurodrive GmbH & Co KG, Bruchsal, Germany; Maxolution Sew-Eurodrive GmbH & Co KG, Bruchsal, Germany; Faculty of Mechanical Enginering and Mechatronics, Hochschule Karlsruhe, Karlsruhe, Germany","2022 IEEE 27th International Conference on Emerging Technologies and Factory Automation (ETFA)","25 Oct 2022","2022","","","1","7","Based on the successful use of simulation methods such as HIL, SIL and MIL in a variety of industries, the use of simulation methods for the purpose of virtual commissioning is also emerging in the field of machine automation This article introduces the different methods, describes the possible use cases in machine automation and suggests a simplified selection approach of simulation method based on the targeted application during a machine lifecycle phase. Finally, the capability of the SEW components to be used together with the HIL method is examined and confirmed using an exemplary demonstration machine.","","978-1-6654-9996-5","10.1109/ETFA52439.2022.9921618","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9921618","commissioning;virtual commissioning;hardware-in-the-loop;HIL;model-in-the-loop;MIL;software-in-the-loop;SIL;machine-automation","Industries;Manufacturing automation","control engineering computing;design engineering;product development;production engineering computing;sewing machines","machine automation;simplified selection approach;simulation method;machine lifecycle phase;HIL method;exemplary demonstration machine;virtual commissioning selection approach","","","","24","IEEE","25 Oct 2022","","","IEEE","IEEE Conferences"
"Automatic Generation of Charging Point's Digital Twin for Virtual Commissioning of Their Automation Systems","N. Galkin; C. -W. Yang; V. Vyatkin","Department of Computer Science, Electrical and Space Engineering, Luleå University of Technology, Luleå, Sweden; Department of Computer Science, Electrical and Space Engineering, Luleå University of Technology, Luleå, Sweden; Department of Computer Science, Electrical and Space Engineering, Luleå University of Technology, Luleå, Sweden","IEEE Open Journal of the Industrial Electronics Society","5 Jan 2023","2023","4","","14","26","The wide propagation of electric vehicle (EV) charging infrastructure integrated into the energy distribution network poses numerous challenges for the engineering and control of the latter: the load dynamic characteristics become more unsteady, requiring more advanced control, predictions, and virtual commissioning. One step toward the automation of the design and simulation of new charging stations can be reached through the integration of the EV-specific standards and protocols with other widely spread electrical standards and, thereby, improving the compatibility between standards, increasing the reuse of the intelligent work results, and promoting the development of EVs’ infrastructure. A method for virtual commissioning of electrical charging stations is proposed, implemented, and tested in a form of a software tool in which the electrical system description from the widely used IEC 61850 standard is used as an input. The designed tool builds a digital twin of the charging station that consists of its Simulink model as well as two automatically generated communication code primitives using the open charge point protocol for control and management purposes over the autogenerated model. The generated digital twin can be used for virtual commissioning purposes. The application of the method is illustrated in a case study.","2644-1284","","10.1109/OJIES.2022.3230214","ERA-Net SES; European Commission(grant numbers:775970); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9991890","Charging point's (CP) automation;digital twin (DT);IEC 61850;MATLAB","IEC Standards;Standards;Charging stations;Automation;Digital twins;Protocols;Mathematical models","electric vehicle charging;IEC standards;power distribution control;power engineering computing;protocols;software tools","automatic generation;digital twin;electric vehicle charging infrastructure;electrical charging stations;electrical standards;energy distribution network;IEC 61850 standard;load dynamic characteristics;open charge point protocol;Simulink model;software tool;system control;virtual commissioning purposes;wide propagation","","","","26","CCBY","19 Dec 2022","","","IEEE","IEEE Journals"
"Manufacturing machine virtual commissioning: Automated validation of the control software","P. Bartz; M. Decottignies; Y. Montagnol; K. Kouiss; F. P. Terra; C. L. D'Elia Machado","Manufacturing Engineering Faurecia Automotive Seating, Brieres-les-Scelles, France; Manufacturing Engineering Faurecia Automotive Seating, Brieres-les-Scelles, France; Manufacturing Engineering Faurecia Automotive Seating, Brieres-les-Scelles, France; SIGMA Clermont, Université Clermont Auvergne, Clermont-Ferrand, France; Faculty of Electrical Engineering, Sul-rio-grandense Federal Institute, Pelotas, Brazil; Faculty of Electrical Engineering, Sul-rio-grandense Federal Institute, Pelotas, Brazil","2021 International Conference on Electrical, Computer and Energy Technologies (ICECET)","11 Feb 2022","2021","","","1","5","This paper presents a method to automate the validation tests of a manufacturing machine software with virtual commissioning elements. The work is applied to a welding tool that serves as a brace to keep a mechanical part immobilized during the welding operations. The proposed method consists in three parts: a simulation model of the mechanical components behavior, an environment to run the controlling system and a supervisor software that runs automatically the test scenarios and records the behavior of the controlling system. The analysis of the results will demonstrate that the controlling system is able to perform the right reaction in either nominal or defective scenarios.","","978-1-6654-4231-2","10.1109/ICECET52533.2021.9698716","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9698716","virtual commissioning;manufacturing tool;testing;validation;automation","Java;Costs;Welding;Control systems;Market research;Software;Hardware","control engineering computing;production engineering computing;virtual manufacturing;virtual reality","manufacturing machine virtual commissioning;automated validation;control software;manufacturing machine software;welding tool;supervisor software","","","","22","IEEE","11 Feb 2022","","","IEEE","IEEE Conferences"
"Fault injection in Digital Twin as a means to test the response to process faults at virtual commissioning","D. Orive; N. Iriondo; A. Burgos; I. Saráchaga; M. L. Álvarez; M. Marcos","Dept. of Automatic Control and Systems Engineering, EIB Bilbao (UPV/EHU), Bilbao, Spain; Dept. of Automatic Control and Systems Engineering, EIB Bilbao (UPV/EHU), Bilbao, Spain; Dept. of Automatic Control and Systems Engineering, EIB Bilbao (UPV/EHU), Bilbao, Spain; Dept. of Automatic Control and Systems Engineering, EIB Bilbao (UPV/EHU), Bilbao, Spain; Dept. of Automatic Control and Systems Engineering, EIB Bilbao (UPV/EHU), Bilbao, Spain; Dept. of Automatic Control and Systems Engineering, EIB Bilbao (UPV/EHU), Bilbao, Spain","2019 24th IEEE International Conference on Emerging Technologies and Factory Automation (ETFA)","17 Oct 2019","2019","","","1230","1234","Digital Twin (DT) is one of the pillars of modern information technologies that plays an important role on industry digitalization. Its use varies very much with the domain but one of them, encouraged by integrated frameworks that cover the whole life cycle of manufacturing applications, is during Virtual Commissioning phase. This paper presents both a design and implementation methodology to easily test the control system reaction to process faults. In particular, the way to prepare the DT to support fault injection is analyzed. The proposal is tested through a simple but representative case study.","1946-0759","978-1-7281-0303-7","10.1109/ETFA.2019.8869334","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8869334","digital twin;virtual commissioning;industry 4.0;digitalization;fault injection","Control systems;Process control;Production;Fault diagnosis;Tools","control engineering computing;fault diagnosis;industrial control;information technology;virtual manufacturing","integrated frameworks;manufacturing applications;process faults;fault injection;digital twin;information technologies;industry digitalization;virtual commissioning phase;control system reaction","","11","","12","IEEE","17 Oct 2019","","","IEEE","IEEE Conferences"
