"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Albo A.; Falkman P.","Albo, Anton (57201358234); Falkman, Petter (14038613100)","57201358234; 14038613100","A standardization approach to virtual commissioning strategies in complex production environments","2020","Procedia Manufacturing","51","","","1251","1258","7","11","10.1016/j.promfg.2020.10.175","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099804419&doi=10.1016%2fj.promfg.2020.10.175&partnerID=40&md5=73256b6dee75cf95f31341d099b4bb92","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85099804419"
"Ahrens M.; Richter C.; Hehenberger P.; Reinhart G.","Ahrens, Martin (56840169600); Richter, Christoph (57208768114); Hehenberger, Peter (12545375000); Reinhart, Gunther (7101858932)","56840169600; 57208768114; 12545375000; 7101858932","Novel approach to establish model-based development and virtual commissioning in practice","2019","Engineering with Computers","35","3","","741","754","13","8","10.1007/s00366-018-0622-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048062094&doi=10.1007%2fs00366-018-0622-6&partnerID=40&md5=f4941930a73c32e28cee3f0c2c6fae7c","Article","Final","","Scopus","2-s2.0-85048062094"
"Herbus K.; Ociepka P.","Herbus, K. (55642879400); Ociepka, P. (6507539914)","55642879400; 6507539914","Virtual commissioning of a robotized production cell with use of mechatronic features","2018","IOP Conference Series: Materials Science and Engineering","400","4","042030","","","","1","10.1088/1757-899X/400/4/042030","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055847032&doi=10.1088%2f1757-899X%2f400%2f4%2f042030&partnerID=40&md5=7030fd1268e1850be5d85cdcb0ccefd9","Conference paper","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85055847032"
"Lyu T.; Lashchev A.; Patil S.; Atmojo U.D.; Vyatkin V.","Lyu, Tuojian (57226687885); Lashchev, Andrei (6505858603); Patil, Sandeep (25646283000); Atmojo, Udayanto Dwi (48361091500); Vyatkin, Valeriy (23092497000)","57226687885; 6505858603; 25646283000; 48361091500; 23092497000","Mechatronic Swarm and its Virtual Commissioning","2023","Proceedings - 2023 IEEE International Conference on Mechatronics, ICM 2023","","","","","","","0","10.1109/ICM54990.2023.10101912","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85158168027&doi=10.1109%2fICM54990.2023.10101912&partnerID=40&md5=e316d70286a00d937bb1d3038e82e5b9","Conference paper","Final","","Scopus","2-s2.0-85158168027"
"Shen W.; Hu T.; Yin Y.; He J.; Tao F.; Nee A.Y.C.","Shen, Weidong (57217846033); Hu, Tianliang (24921483100); Yin, Yisheng (57298771200); He, Jianhui (57992748800); Tao, Fei (57773253100); Nee, A.Y.C. (57195245075)","57217846033; 24921483100; 57298771200; 57992748800; 57773253100; 57195245075","Digital twin based virtual commissioning for computerized numerical control machine tools","2020","Digital Twin Driven Smart Design","","","","289","307","18","7","10.1016/B978-0-12-818918-4.00011-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101801424&doi=10.1016%2fB978-0-12-818918-4.00011-7&partnerID=40&md5=86d8134d70a6716ddeac9804fae02c78","Book chapter","Final","","Scopus","2-s2.0-85101801424"
"Sun X.; Zhang R.; Liu S.; Lv Q.; Bao J.; Li J.","Sun, Xuemin (57204839393); Zhang, Rong (57222149011); Liu, Shimin (57204846684); Lv, Qibing (57222153149); Bao, Jinsong (7201398425); Li, Jie (57210125923)","57204839393; 57222149011; 57204846684; 57222153149; 7201398425; 57210125923","A digital twin-driven human–robot collaborative assembly-commissioning method for complex products","2022","International Journal of Advanced Manufacturing Technology","118","9-10","","3389","3402","13","10","10.1007/s00170-021-08211-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117043665&doi=10.1007%2fs00170-021-08211-y&partnerID=40&md5=e58acb0630053a7f719a1d4f9e3f4d8a","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85117043665"
"Bendjelloul A.; Mihoubi B.; Gaham M.; Moufid M.; Bouzouia B.","Bendjelloul, Abdelhamid (57547981900); Mihoubi, Bachir (57160129100); Gaham, Mehdi (35317402100); Moufid, Mansour (52663909500); Bouzouia, Brahim (6602694007)","57547981900; 57160129100; 35317402100; 52663909500; 6602694007","A framework for an effective virtual commissioning of agent-based cyber-physical production systems integrated into manufacturing facilities","2022","Concurrent Engineering Research and Applications","30","4","","399","410","11","0","10.1177/1063293X221121819","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137043386&doi=10.1177%2f1063293X221121819&partnerID=40&md5=4fba586826f00d16eb9558fe9c026181","Article","Final","","Scopus","2-s2.0-85137043386"
"Norberger M.; Apitzsch R.; Sewohl A.; Schlegel H.; Putz M.","Norberger, Manuel (57218836389); Apitzsch, René (57201731385); Sewohl, André (57195357268); Schlegel, Holger (53364386800); Putz, Matthias (8240426200)","57218836389; 57201731385; 57195357268; 53364386800; 8240426200","A holistic approach for the development of a digital twin focused on commissioning and control of electromechanical feed axes","2020","ICINCO 2020 - Proceedings of the 17th International Conference on Informatics in Control, Automation and Robotics","","","","769","774","5","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090385217&partnerID=40&md5=b1d8399781438bddd05871dc0ac48a2d","Conference paper","Final","","Scopus","2-s2.0-85090385217"
"Krystek J.; Alszer S.; Bysko S.","Krystek, Jolanta (55521423800); Alszer, Sara (57192170883); Bysko, Szymon (57188977864)","55521423800; 57192170883; 57188977864","Virtual commissioning as the main core of industry 4.0 – Case study in the automotive paint shop","2019","Advances in Intelligent Systems and Computing","835","","","370","379","9","9","10.1007/978-3-319-97490-3_36","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051768322&doi=10.1007%2f978-3-319-97490-3_36&partnerID=40&md5=32a27e9dda87593a4291739cc9fb99e1","Conference paper","Final","","Scopus","2-s2.0-85051768322"
"Lyu T.; Dwi Atmojo U.; Vyatkin V.","Lyu, Tuojian (57226687885); Dwi Atmojo, Udayanto (48361091500); Vyatkin, Valeriy (23092497000)","57226687885; 48361091500; 23092497000","Towards cloud-based virtual commissioning of distributed automation applications with IEC 61499 and containerization technology","2021","IECON Proceedings (Industrial Electronics Conference)","2021-October","","","","","","5","10.1109/IECON48115.2021.9589945","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119491895&doi=10.1109%2fIECON48115.2021.9589945&partnerID=40&md5=ee3842f7ed23533266d057a17b340ed4","Conference paper","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85119491895"
"Thongnuch S.; Fay A.; Drath R.","Thongnuch, Suthida (57195557880); Fay, Alexander (8562476000); Drath, Rainer (6507634904)","57195557880; 8562476000; 6507634904","Semi-automatic generation of a virtual representation of a production cell: Combining 3D CAD and VDI-2860 behavior models by means of AutomationML","2018","At-Automatisierungstechnik","66","5","","372","384","12","6","10.1515/auto-2017-0108","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047019344&doi=10.1515%2fauto-2017-0108&partnerID=40&md5=c30d59c1b0f789a2fc3b3a39170e93fe","Article","Final","","Scopus","2-s2.0-85047019344"
"Westbrink F.; Schwung A.","Westbrink, Fabian (57201590155); Schwung, Andreas (26536568000)","57201590155; 26536568000","Virtual Commissioning Approach based on the Discrete Element Method","2018","Proceedings - IEEE 16th International Conference on Industrial Informatics, INDIN 2018","","","8471954","424","429","5","3","10.1109/INDIN.2018.8471954","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055530618&doi=10.1109%2fINDIN.2018.8471954&partnerID=40&md5=d4cab4eac0f28eff3fcde6b4c0ea531e","Conference paper","Final","","Scopus","2-s2.0-85055530618"
"Xia K.; Sacco C.; Kirkpatrick M.; Harik R.; Bayoumi A.-M.","Xia, Kaishu (57203064607); Sacco, Christopher (57203062919); Kirkpatrick, Max (57193120439); Harik, Ramy (28567671400); Bayoumi, Abdel-Moez (24498517600)","57203064607; 57203062919; 57193120439; 28567671400; 24498517600","Virtual comissioning of manufacturing system intelligent control","2019","International SAMPE Technical Conference","2019-May","","","","","","5","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068772212&partnerID=40&md5=144f3b9238002a2b33c246882ddfe21b","Conference paper","Final","","Scopus","2-s2.0-85068772212"
"Ugarte M.; Etxeberria L.; Unamuno G.; Bellanco J.L.; Ugalde E.","Ugarte, Miriam (57566475800); Etxeberria, Leire (13105885100); Unamuno, Gorka (56166698300); Bellanco, Jose Luis (57566676300); Ugalde, Eneko (57565493800)","57566475800; 13105885100; 56166698300; 57566676300; 57565493800","Implementation of Digital Twin-based Virtual Commissioning in Machine Tool Manufacturing","2022","Procedia Computer Science","200","","","527","536","9","4","10.1016/j.procs.2022.01.250","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127781751&doi=10.1016%2fj.procs.2022.01.250&partnerID=40&md5=999512e01802349f80df592a990cb2aa","Conference paper","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85127781751"
"Fur S.; Riedel O.; Verl A.","Fur, Shan (57199285774); Riedel, Oliver (57200884389); Verl, Alexander (24504498500)","57199285774; 57200884389; 24504498500","Hybrid Commissioning of Production Plants","2021","IEEE International Conference on Emerging Technologies and Factory Automation, ETFA","2021-September","","","","","","2","10.1109/ETFA45728.2021.9613256","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122924836&doi=10.1109%2fETFA45728.2021.9613256&partnerID=40&md5=352da6ba6d2c16e950d4a062112cc77a","Conference paper","Final","","Scopus","2-s2.0-85122924836"
"Raffaeli R.; Bilancia P.; Neri F.; Peruzzini M.; Pellicciari M.","Raffaeli, Roberto (10739418500); Bilancia, Pietro (57195804520); Neri, Federico (58366237000); Peruzzini, Margherita (34971929300); Pellicciari, Marcello (26428392600)","10739418500; 57195804520; 58366237000; 34971929300; 26428392600","Engineering Method and Tool for the Complete Virtual Commissioning of Robotic Cells","2022","Applied Sciences (Switzerland)","12","6","3164","","","","2","10.3390/app12063164","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127437399&doi=10.3390%2fapp12063164&partnerID=40&md5=829830cec6b71584a749c0ceb382c813","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85127437399"
"Wang J.; Niu X.; Gao R.X.; Huang Z.; Xue R.","Wang, Jinjiang (49964967100); Niu, Xiaotong (57970125000); Gao, Robert X. (57573667100); Huang, Zuguang (55556181700); Xue, Ruijuan (57202856409)","49964967100; 57970125000; 57573667100; 55556181700; 57202856409","Digital twin-driven virtual commissioning of machine tool","2023","Robotics and Computer-Integrated Manufacturing","81","","102499","","","","2","10.1016/j.rcim.2022.102499","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142178389&doi=10.1016%2fj.rcim.2022.102499&partnerID=40&md5=73f03bdc6245f91c10d577b4cf4d8ebe","Article","Final","","Scopus","2-s2.0-85142178389"
"Siegrist D.; Matsikis A.; Dirbach S.; Volz A.; Bellalouna F.","Siegrist, Daniel (57955508500); Matsikis, Alexandros (6507052060); Dirbach, Simon (57956415500); Volz, Artur (57955069500); Bellalouna, Fahmi (18933453600)","57955508500; 6507052060; 57956415500; 57955069500; 18933453600","A Virtual Commissioning Selection Approach for Machine Automation","2022","IEEE International Conference on Emerging Technologies and Factory Automation, ETFA","2022-September","","","","","","0","10.1109/ETFA52439.2022.9921618","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141368081&doi=10.1109%2fETFA52439.2022.9921618&partnerID=40&md5=c60aaa407c51cb20d08051105ed1501b","Conference paper","Final","","Scopus","2-s2.0-85141368081"
"Reiser R.; Thiele B.; Bellmann T.; Koch P.; Walter C.","Reiser, Robert (57871695100); Thiele, Bernhard (57871609900); Bellmann, Tobias (55355952300); Koch, Philip (57209991906); Walter, Christoph (7202108594)","57871695100; 57871609900; 55355952300; 57209991906; 7202108594","Real-time simulation and virtual commissioning of a modular robot system with OPC UA","2022","54th International Symposium on Robotics, ISR Europe 2022","","","","50","57","7","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137140426&partnerID=40&md5=7d93b7ea08f0e0de2b8f6db4c7201d6e","Conference paper","Final","","Scopus","2-s2.0-85137140426"
